Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Flow IAT Mean,Flow IAT Std,Flow Packets/s,Label
306006,1292,1653,864422,1500,0.321713,0.114286,134.842524,DDoS
195537,18,6,3849,413,11.843143,5.86704,10.429186,BENIGN
134867,688,2159,1040944,1475,0.294973,0.180684,37.220624,DDoS
413092,24,19,13170,272,23.802023,25.467322,2.70461,BENIGN
198345,1638,1704,1420636,1500,0.484718,0.057601,42.551099,DDoS
303140,2027,1834,467643,1500,0.226202,0.07735,58.822446,DDoS
210959,21,10,7749,549,14.812417,9.582391,10.683543,BENIGN
171844,6389,4126,686387,857,0.537614,0.212207,104.447883,DDoS
193156,15,15,7918,999,23.888852,9.836831,16.881487,BENIGN
122194,1383,1594,766325,1490,0.280787,0.244704,75.688305,DDoS
101739,22,14,4620,763,38.828168,26.471343,3.609939,BENIGN
393821,2621,1983,556644,1500,0.374568,0.206654,80.183551,DDoS
148222,15,9,4491,287,19.122046,2.042775,3.83803,BENIGN
184220,14,8,2148,964,20.234151,2.296194,7.870175,BENIGN
167329,22,16,3154,633,15.396262,4.477764,9.115503,BENIGN
151260,20,16,15244,929,16.047932,37.419648,4.177671,BENIGN
352852,24,13,5350,364,14.521848,7.81727,4.480162,BENIGN
81748,12,14,6819,519,21.848777,4.117195,13.341789,BENIGN
238775,2247,636,1051885,896,0.498098,0.154216,97.96856,DDoS
195995,2115,2217,731772,1259,0.671608,0.118163,85.813194,DDoS
198141,21,14,10965,1123,29.322354,4.496435,4.298806,BENIGN
275700,2788,1733,396798,1500,0.494112,0.642805,60.618719,DDoS
234783,684,3244,594988,1486,1.237415,0.175942,31.422907,DDoS
124542,19,13,4473,269,38.198005,12.725215,19.717866,BENIGN
503483,1320,2186,834916,846,0.949791,0.196141,37.351387,DDoS
69700,18,15,5439,414,29.948129,9.465427,7.04144,BENIGN
154158,13,10,8414,759,7.475448,11.057337,11.171648,BENIGN
117463,14,15,6199,271,22.481512,3.838545,3.939998,BENIGN
163077,11,15,3313,577,11.193653,16.656346,5.327201,BENIGN
155397,18,18,14795,1203,17.369319,21.761027,3.236305,BENIGN
64273,23,19,7715,396,30.630694,13.610059,5.200441,BENIGN
142752,23,17,3863,667,12.255549,2.778349,13.639625,BENIGN
140431,32,10,7333,858,24.735827,9.961703,21.434585,BENIGN
55773,16,13,5776,255,21.680939,4.474864,5.052541,BENIGN
138898,17,10,11999,904,29.934973,2.308702,6.687744,BENIGN
110920,13,11,32809,655,6.529763,10.242982,4.928924,BENIGN
255232,3467,704,2375032,1500,0.718863,0.565923,104.851923,DDoS
233848,758,1614,787794,1500,0.686458,0.056097,54.026601,DDoS
